origin,class
lutry,lavaux
epalinges,lausanne
villette,lavaux
le mont-sur-lausanne,lausanne
corporation vaudoise,vaud
pully,lausanne
prilly,lausanne
l'abbaye,la_vallee
sainte-croix,yverdon
vevey,vevey
rolle,rolle
saint-saphorin,lavaux
jouxtens-mezery,lausanne
rougemont,pays_d_enhaut
paudex,lausanne
echichens,morges
renens,lausanne
moudon,moudon
bottens,echallens
geneve,geneve
la vallee de joux,la_vallee
froideville,lausanne
le chenit,la_vallee
belmont-sur-lausanne,lausanne
chateau-d'oex,pays_d_enhaut
l'isle,morges
daillens,cossonay
cossonay,cossonay
ormont-dessus,aigle
chexbres,lavaux
yverdon,yverdon
vuarrens,cossonay
cully,lavaux
aubonne,aubonne
le lieu,la_vallee
etagnieres,lausanne
morges,morges
cheseaux-sur-lausanne,lausanne
tolochenaz,morges
nyon,nyon
coinsins,nyon
vaulion,orbe
oulens-sous-echallens,echallens
vulliens,moudon
corsier-sur-vevey,vevey
orbe,orbe
payerne,payerne
montreux,vevey
pizy,aubonne
crissier,lausanne
duillier,nyon
essertines-sur-yverdon,yverdon
savigny,lausanne
chardonne,vevey
allaman,aubonne
bullet,yverdon
ballaigues,orbe
peney-le-jorat,lausanne
montaubion-chardonney,moudon
romanel-sur-lausanne,lausanne
villars-tiercelin,oron
lavigny,morges
juriens,orbe
maracon,oron
latour-de-peilz,vevey
vallorbe,orbe
bussigny-pres-lausanne,lausanne
ogens,cossonay
saint-cierges,moudon
sullens,lausanne
bretigny-sur-morrens,lausanne
poliez-le-grand,echallens
rossiniere,pays_d_enhaut
riex,lavaux
neuchatel,neuchatel
echallens,echallens
blonay,vevey
montpreveyres,oron
chavornay,orbe
la sarraz,cossonay
grandson,grandson
aclens,morges
chavannes-de-bogis,nyon
goumoens-la-ville,cossonay
corcelles-le-jorat,oron
chavannes-pres-renens,lausanne
naz,oron
pailly,moudon
mezieres (vaud),oron
dommartin,echallens
bettens,cossonay
molondin,moudon
avenches,avenches
eclepens,morges
ropraz,oron
bex,aigle
lussy-sur-morges,morges
begnins,nyon
saint-barthelemy,moudon
essertes,oron
vich,nyon
fechy,aubonne
penthaz,cossonay
gressy,lausanne
jongny,vevey
morrens,lausanne
chevilly,cossonay
fey,morges
bournens,cossonay
thierrens,moudon
villars-sainte-croix,lausanne
chapelle-sur-moudon,moudon
saint-sulpice,morges
servion,oron
les cullayes,lausanne
neyruz-sur-moudon,moudon
piemont,italie
italie,italie
chatillens,oron
ollon,aigle
concise,yverdon
villeneuve,aigle
lussery,morges
le locle,neuchatel
fribourg,fribourg
assens,morges
arnex-sur-nyon,nyon
mex,lausanne
gimel,morges
champtauroz,moudon
direction francaise,france
carrouge,oron
essertines-sur-rolle,rolle
gossens,yverdon
mauraz,morges
lonay,morges
goumoens,echallens
ballens,morges
boussens,morges
bussy-chardonney,morges
provence,yverdon
aigle,aigle
villarzel,moudon
lucens,moudon
rivaz,lavaux
oron-la-ville,oron
demoret,yverdon
penthalaz,cossonay
puidoux,lavaux
peyres-possens,morges
vaud (canton),vaud
estavayer-le-lac,fribourg
denges,morges
cugy (vaud),lausanne
fontanezier,yverdon
dully,rolle
chigny,morges
prangins,nyon
chesalles-sur-oron,oron
belmont,lausanne
grandvaux,lavaux
corseaux,vevey
bioley-orjulaz,lausanne
lussy,morges
la chaux-de-fonds,neuchatel
les thioleyres,oron
les clees,orbe
champvent,yverdon
granges-pres-marnand,moudon
ecublens,lausanne
romanel,lausanne
vufflens-la-ville,morges
bercher,echallens
fribourg (canton),fribourg
belmont-sur-yverdon,yverdon
ormont-dessous,aigle
goumoens-le-jux,echallens
neuchatel (canton),neuchatel
vuibroye,oron
combremont-le-grand,moudon
yens,morges
monnaz,morges
rances,orbe
lausanne,lausanne
berne (canton),suisse_allemande
angleterre,angleterre
france,france
gessenay,pays_d_enhaut
guggisberg,fribourg
corporation francaise,france
zurich (canton),suisse_allemande
bourse francaise,france
thurgovie (canton),suisse_allemande
la tour-de-peilz,vevey
seedorf,suisse_allemande
argovie (canton),suisse_allemande
lyon,france
langnau im emmental,suisse_allemande
berne,suisse_allemande
zurich,suisse_allemande
paris (france),france
burgistein,suisse_allemande
sigriswil,suisse_allemande
saint-gall,suisse_allemande
muri bei bern,suisse_allemande
glaris (canton),suisse_allemande
frauenfeld,suisse_allemande
hausen (souabe)?,suisse_allemande
nidau,suisse_allemande
weinfelden,suisse_allemande
grisons (canton),suisse_allemande
brest,france
zunzgen,suisse_allemande
biglen,suisse_allemande
kusnacht,suisse_allemande
divonne-les-bains (france),france
glaris,suisse_allemande