street,job_category,Weight
vidy,agricole,1
prelaz,service,1
montriond,rente,1
rasude,commerce,1
rasude,rente,4
montetan,agricole,1
montetan,rente,1
bugnon,construction,4
petit clos,administration,1
petit clos,agricole,3
petit clos,rente,2
petit clos,service,1
petit singe,agricole,1
petit singe,commerce,1
petit singe,rente,9
petit singe,service,1
place st francois,administration,2
place st francois,artisanat,3
place st francois,commerce,6
place st francois,rente,20
place st francois,service,10
praz-sechaud,agricole,2
grand chene,administration,1
grand chene,artisanat,7
grand chene,commerce,7
grand chene,construction,2
grand chene,rente,17
grand chene,service,9
madeleine,administration,1
madeleine,agricole,1
madeleine,artisanat,10
madeleine,commerce,12
madeleine,construction,1
madeleine,rente,7
madeleine,service,11
pont des sauge,agricole,3
pont des sauge,rente,2
malley,agricole,1
malley,rente,1
la rappaz,agricole,1
la rappaz,service,1
riponne,artisanat,1
riponne,service,2
truiblanc,rente,1
vernand-dessous,agricole,3
vernand-dessous,rente,1
vernand-dessous,service,1
val-d'angrogne,agricole,3
val-d'angrogne,artisanat,1
denatou,agricole,2
st etienne,agricole,2
st etienne,artisanat,6
st etienne,construction,4
st etienne,rente,11
st etienne,service,6
ouchy,agricole,38
ouchy,artisanat,12
ouchy,commerce,6
ouchy,rente,36
ouchy,service,17
bethusy,agricole,1
palud,administration,1
palud,agricole,2
palud,artisanat,18
palud,commerce,19
palud,construction,4
palud,rente,23
palud,service,11
chabliere,agricole,3
chabliere,rente,1
petit chene,agricole,2
petit chene,artisanat,4
petit chene,commerce,1
petit chene,rente,2
petit chene,service,3
petits huttins,rente,1
montchoisi,rente,1
epinette,agricole,1
epinette,rente,1
loup,construction,3
chavannes,agricole,8
chavannes,artisanat,1
rue du pre,agricole,25
rue du pre,artisanat,67
rue du pre,commerce,20
rue du pre,construction,22
rue du pre,rente,11
rue du pre,service,32
retraite,agricole,1
mon repos,rente,2
les saugealles,agricole,1
montagibert,agricole,3
montagibert,rente,2
violette,rente,2
beau-soleil,agricole,1
derriere les terreaux ferme de m. roguin,agricole,1
maison des postes,service,1
petite pontaise,rente,1
vernand,agricole,3
vernand,rente,1
pra chillon,agricole,1
rue d'etraz,agricole,16
rue d'etraz,artisanat,19
rue d'etraz,commerce,3
rue d'etraz,construction,5
rue d'etraz,rente,20
rue d'etraz,service,13
mercerie,agricole,6
mercerie,artisanat,23
mercerie,commerce,3
mercerie,construction,7
mercerie,rente,5
mercerie,service,9
sebeilllon,agricole,4
sebeilllon,rente,2
villamont,agricole,1
villamont,artisanat,1
valentin,agricole,1
valentin,rente,3
vernand-dessus,agricole,4
vernand-dessus,rente,3
boston,rente,2
boston,service,1
maupas,agricole,7
maupas,artisanat,1
maupas,commerce,1
maupas,construction,2
maupas,rente,7
maupas,service,1
croix de rive,commerce,1
croix de rive,rente,3
vennes,agricole,11
vennes,construction,1
vennes,rente,5
montee de st laurent,administration,2
montee de st laurent,agricole,13
montee de st laurent,artisanat,23
montee de st laurent,commerce,8
montee de st laurent,construction,6
montee de st laurent,rente,5
montee de st laurent,service,13
petite rue,service,3
grangette,agricole,4
grangette,rente,1
grangette,service,1
paleyres,agricole,2
sous le signal,construction,1
rue de st pierre,administration,4
rue de st pierre,agricole,4
rue de st pierre,artisanat,34
rue de st pierre,commerce,15
rue de st pierre,construction,5
rue de st pierre,rente,41
rue de st pierre,service,20
grand champ,agricole,1
toises,administration,1
toises,agricole,1
toises,rente,1
collonges,rente,1
bourdonnette,agricole,1
bourdonnette,rente,1
verdonnet,agricole,4
chauderon,agricole,5
chauderon,artisanat,1
chauderon,construction,1
chauderon,service,1
vuachere,agricole,2
bois de vaux,agricole,3
bois de vaux,rente,2
riant-mont,rente,1
blecherette,agricole,1
rosemont,rente,4
place st laurent,administration,1
place st laurent,artisanat,1
place st laurent,rente,4
place st laurent,service,3
servan,agricole,1
servan,rente,4
montheron,agricole,5
montheron,artisanat,1
chemin de georgette,agricole,2
chemin de georgette,rente,2
pepinet,administration,1
cite dessous,administration,1
cite dessous,agricole,9
cite dessous,artisanat,6
cite dessous,construction,5
cite dessous,rente,8
cite dessous,service,8
chalet aux enfants,agricole,1
villard,agricole,2
villard,rente,3
jordils,rente,2
rovereaz,agricole,1
rovereaz,service,1
chalet a marin,agricole,3
mont-olivet,agricole,1
mont-olivet,rente,1
rosiere,rente,2
montoie,agricole,3
montoie,rente,3
montoie,service,1
place de st francois,agricole,2
place de st francois,artisanat,24
place de st francois,commerce,17
place de st francois,construction,3
place de st francois,rente,14
place de st francois,service,7
bellevue,agricole,2
bellevue,rente,2
singe,agricole,3
chalet de vernand,agricole,2
rue de bourg,administration,3
rue de bourg,agricole,3
rue de bourg,artisanat,27
rue de bourg,commerce,24
rue de bourg,construction,4
rue de bourg,rente,47
rue de bourg,service,27
languedoc,agricole,2
rue de chaucrau,administration,3
rue de chaucrau,agricole,18
rue de chaucrau,artisanat,16
rue de chaucrau,commerce,3
rue de chaucrau,construction,19
rue de chaucrau,rente,2
rue de chaucrau,service,14
grotte,agricole,2
grotte,artisanat,1
grotte,commerce,2
grotte,rente,10
grotte,service,1
pontaise,administration,1
pontaise,rente,3
bois-gentil,construction,2
bois-gentil,rente,3
saugettes,agricole,1
saugettes,rente,1
petit ouchy,agricole,2
grand st jean,administration,8
grand st jean,agricole,13
grand st jean,artisanat,76
grand st jean,commerce,17
grand st jean,construction,16
grand st jean,rente,42
grand st jean,service,32
escaliers du marche,administration,1
escaliers du marche,agricole,3
escaliers du marche,artisanat,14
escaliers du marche,construction,2
escaliers du marche,rente,4
escaliers du marche,service,6
croix rouge,agricole,4
croix rouge,rente,1
croix rouge,service,1
la cage ,agricole,2
croisette haras,service,1
trabandan,agricole,1
grey,rente,1
cazard,agricole,1
mousquines,agricole,1
mousquines,rente,4
rue de l'ale,administration,4
rue de l'ale,agricole,56
rue de l'ale,artisanat,27
rue de l'ale,commerce,6
rue de l'ale,construction,29
rue de l'ale,rente,5
rue de l'ale,service,13
petit st jean,administration,1
petit st jean,agricole,4
petit st jean,artisanat,18
petit st jean,commerce,5
petit st jean,construction,1
petit st jean,rente,5
petit st jean,service,7
moulin de pepinet,agricole,16
moulin de pepinet,artisanat,3
moulin de pepinet,construction,2
moulin de pepinet,rente,1
moulin de pepinet,service,3
villars,agricole,1
villars,rente,2
la sallaz,agricole,9
la sallaz,artisanat,4
la sallaz,rente,1
la sallaz,service,2
rongimel,administration,1
rongimel,agricole,1
rongimel,rente,1
place de st laurent,administration,3
place de st laurent,agricole,8
place de st laurent,artisanat,29
place de st laurent,commerce,12
place de st laurent,construction,9
place de st laurent,rente,15
place de st laurent,service,18
bergieres,agricole,1
bergieres,rente,1
clos de bulle,rente,2
clos de bulle,service,1
mon regret,agricole,1
rue de l'hopital,agricole,5
rue de l'hopital,artisanat,7
rue de l'hopital,construction,5
rue de l'hopital,rente,2
rue de l'hopital,service,1
calvaire,agricole,3
calvaire,artisanat,1
calvaire,construction,1
calvaire,rente,1
mornex,rente,1
craivavers,agricole,3
craivavers,construction,1
la berallaz,agricole,5
cite derriere,administration,10
cite derriere,agricole,13
cite derriere,artisanat,23
cite derriere,commerce,3
cite derriere,construction,19
cite derriere,rente,16
cite derriere,service,14
derriere les terreaux,agricole,1
derriere les terreaux,construction,2
derriere les terreaux,rente,5
derriere les terreaux,service,3
barre,administration,2
barre,agricole,32
barre,artisanat,14
barre,commerce,3
barre,construction,24
barre,rente,9
barre,service,16
chateau de vennes,service,1
place du pont,agricole,2
place du pont,artisanat,5
place du pont,commerce,4
place du pont,construction,3
place du pont,service,2
villamont maison de maitres,rente,6
cheneau de bourg,agricole,31
cheneau de bourg,artisanat,46
cheneau de bourg,commerce,2
cheneau de bourg,construction,18
cheneau de bourg,rente,9
cheneau de bourg,service,18
montee st francois,artisanat,6
montee st francois,commerce,6
montee st francois,rente,5
montee st francois,service,3
cite devant,administration,7
cite devant,agricole,9
cite devant,artisanat,22
cite devant,commerce,3
cite devant,construction,4
cite devant,rente,27
cite devant,service,16
ecole de charite,service,4
gottettaz,agricole,5
desert,agricole,1
desert,rente,1
devin,agricole,5
devin,construction,1
devin,service,1
bel-air,agricole,2
bel-air,rente,1
cour,agricole,23
cour,rente,26
cour,service,1
valency,agricole,1
taulau?,rente,7
pres de ville,rente,4
grange-neuve,agricole,8
grange-neuve,artisanat,1
grange-neuve,construction,1
grange-neuve,service,2
petit mon repos,rente,1
chailly,agricole,20
chailly,artisanat,6
chailly,construction,4
chailly,rente,3
chailly,service,1
contigny,agricole,2
contigny,rente,1
montbenon,rente,8
montbenon,service,1
beaulieu,agricole,1
beaulieu,rente,1
beaulieu,service,1
clos mont,artisanat,2
rue du pont,administration,2
rue du pont,agricole,1
rue du pont,artisanat,17
rue du pont,commerce,15
rue du pont,construction,1
rue du pont,rente,9
rue du pont,service,14
a la tuerie ?,agricole,1
marterey,administration,1
marterey,agricole,54
marterey,artisanat,49
marterey,commerce,3
marterey,construction,28
marterey,rente,27
marterey,service,51
